,train_loss,train_mape,train_rmse,valid_loss,valid_mape,valid_rmse
0,4.036749,0.11368,7.704519,3.427705,0.102334,6.468637
1,3.556547,0.099523,7.051684,3.223155,0.090111,6.124777
2,3.465901,0.096387,6.85085,3.164699,0.089475,5.954306
3,3.375349,0.093656,6.685075,3.105572,0.090381,5.934399
4,3.31765,0.091662,6.562637,3.084513,0.091883,5.848717
5,3.268368,0.089937,6.456287,3.029966,0.085779,5.627538
6,3.231235,0.08868,6.376318,3.118343,0.088506,5.743625
7,3.189377,0.08735,6.303113,3.033553,0.087429,5.643594
8,3.154007,0.086251,6.238656,2.94316,0.08014,5.557867
9,3.131039,0.085455,6.198305,2.941851,0.079473,5.541483
10,3.105067,0.084676,6.149395,2.906875,0.080991,5.557817
11,3.085673,0.084111,6.12268,3.060531,0.096667,5.89626
12,3.066979,0.083537,6.0861,2.913117,0.078452,5.580786
13,3.049833,0.083023,6.061198,2.866777,0.082161,5.461146
14,3.031873,0.082494,6.031977,2.876539,0.083709,5.429542
15,3.019219,0.082093,6.006153,2.844125,0.081082,5.482377
16,3.007068,0.08171,5.993067,2.883703,0.084928,5.467782
17,2.992711,0.081353,5.967719,2.824371,0.081395,5.439629
18,2.981707,0.080995,5.946052,2.835384,0.079916,5.454512
19,2.973275,0.080704,5.93407,2.81336,0.079968,5.41979
20,2.963194,0.080386,5.915233,2.792638,0.077876,5.377526
21,2.951563,0.08002,5.899086,2.785365,0.077957,5.370604
22,2.947856,0.079915,5.889688,2.895167,0.0827,5.42164
23,2.937678,0.079572,5.868433,2.842731,0.084599,5.449035
24,2.928454,0.079246,5.854639,2.780902,0.076339,5.351094
25,2.924051,0.079133,5.84497,2.799166,0.078803,5.363766
26,2.917014,0.078925,5.833919,2.809085,0.079427,5.360012
27,2.910875,0.078669,5.81824,2.816887,0.082921,5.413472
28,2.903183,0.078547,5.805635,2.825586,0.082472,5.497851
29,2.899032,0.078253,5.797329,2.788049,0.079973,5.332585
30,2.898261,0.07826,5.793479,2.777284,0.076746,5.347717
31,2.890118,0.077962,5.777576,2.867269,0.08626,5.53982
32,2.888266,0.077936,5.775103,2.786379,0.079903,5.333872
33,2.879748,0.077616,5.755731,2.773929,0.078534,5.360601
34,2.874091,0.077446,5.747747,2.757432,0.077109,5.34487
35,2.874119,0.077451,5.745068,2.792633,0.080396,5.366054
36,2.863342,0.077112,5.722903,2.807095,0.07907,5.378067
37,2.864276,0.077088,5.723877,2.772751,0.076422,5.366556
38,2.85534,0.07684,5.71098,2.780593,0.07993,5.379945
39,2.857031,0.076897,5.708208,2.77152,0.076939,5.361754
40,2.854901,0.076803,5.703302,2.747885,0.076928,5.317922
41,2.852557,0.076713,5.700197,2.856358,0.084019,5.540779
42,2.846417,0.076518,5.68534,2.77851,0.077726,5.343539
43,2.842531,0.076401,5.677586,2.75335,0.076448,5.358231
44,2.841627,0.076301,5.677312,2.752534,0.077572,5.336547
45,2.83618,0.076138,5.664085,2.753154,0.076576,5.312864
46,2.836367,0.076186,5.663204,2.75368,0.074341,5.339703
47,2.833002,0.076017,5.654025,2.760572,0.076186,5.321458
48,2.830119,0.075944,5.650828,2.760158,0.07418,5.339699
49,2.828946,0.075849,5.644591,2.732558,0.077204,5.292395
50,2.823569,0.075677,5.636534,2.820641,0.082922,5.461218
51,2.823217,0.075678,5.631996,2.785408,0.081529,5.400683
52,2.815046,0.075423,5.619823,2.766394,0.077863,5.324278
53,2.810945,0.075232,5.609633,2.738683,0.074106,5.301976
54,2.814679,0.075306,5.616178,2.756131,0.077005,5.339322
55,2.809955,0.075195,5.605278,2.747025,0.076465,5.316137
56,2.807771,0.075083,5.597491,2.773591,0.079699,5.394407
57,2.807352,0.075104,5.598949,2.757506,0.078089,5.348386
58,2.80107,0.07488,5.583799,2.766783,0.0762,5.377185
59,2.8037,0.074984,5.586862,2.757199,0.075022,5.305369
60,2.80296,0.07488,5.584585,2.766036,0.078437,5.352988
61,2.799206,0.074822,5.578579,2.742127,0.076408,5.313907
62,2.792883,0.074524,5.564618,2.756836,0.074202,5.361491
63,2.793435,0.074535,5.561479,2.752394,0.075136,5.290718
64,2.792562,0.074542,5.559436,2.731841,0.075909,5.299963
65,2.793407,0.074583,5.559993,2.738273,0.075061,5.309155
66,2.790031,0.07443,5.553345,2.763529,0.080202,5.353642
67,2.787317,0.074371,5.550706,2.75172,0.078068,5.311695
68,2.785948,0.074339,5.549819,2.743143,0.078049,5.309028
69,2.780883,0.074097,5.531684,2.756305,0.074718,5.339194
70,2.781632,0.074141,5.535981,2.755916,0.078358,5.317334
71,2.78288,0.074171,5.53559,2.793778,0.078465,5.324522
72,2.785182,0.074232,5.543455,2.784646,0.079501,5.400354
73,2.778329,0.073974,5.528097,2.807049,0.079594,5.43938
74,2.771934,0.073814,5.511934,2.772628,0.079062,5.377079
75,2.776556,0.073989,5.522434,2.823735,0.075289,5.392821
76,2.773126,0.073767,5.514067,2.747027,0.074514,5.321691
77,2.770056,0.073766,5.509806,2.754932,0.074275,5.353542
78,2.767998,0.073563,5.501318,2.737935,0.077243,5.296769
79,2.767035,0.073608,5.497026,2.748759,0.075715,5.340446
80,2.764826,0.07352,5.498197,2.764655,0.078098,5.380797
81,2.765269,0.073473,5.494148,2.740088,0.074866,5.290346
82,2.763077,0.073437,5.488141,2.773964,0.07555,5.386879
83,2.762884,0.073452,5.489711,2.800379,0.080929,5.481584
84,2.762177,0.073403,5.486676,2.764694,0.076012,5.35469
